Istuntokauden uudelleenavaaminen	Resumption of the session
Arvoisa puhemies, hyvät kollegat, budjettivaliokunta kannattaa komission ehdottamaa nopean toiminnan välinettä.	Mr President, ladies and gentlemen, the Committee on Budgets welcomes the proposed rapid reaction facility.
Me tuemme tätä yhteisön mekanismia, jolla on tarkoitus tarjota väline kriisinhallinnan ja konfliktien ehkäisyn operaatioihin, ja vieläpä siviilitoimiin.	We support this Community mechanism, which is designed to make resources available for urgent non-combat activities related to crisis management and conflict prevention.
Euroopan unionin apu yleisen järjestyksen säilyttämisessä tai palauttamisessa, eri ryhmien välisen vuoropuhelun edistämisessä, sovittelussa, välityksessä ja ihmisoikeuksien rikkomisen välttämisessä voi olla vain oikein.	It is right and fitting that the European Union should help to preserve or restore public order and to facilitate dialogue, conciliation, mediation and the prevention of human rights abuses.
Tämä kaikki voi olla tehokasta tai muuttua tehokkaaksi vain, jos nopean toiminnan väline todella kykenee reagoimaan nopeasti.	All of this, however, can only be achieved or become achievable if the facility really is able to respond rapidly.
Siksi tuemme erityisesti sitä, mitä komissio ehdottaa toteutuksesta, nimittäin komitologiamenetelmää, mukaan luettuna neuvoa antavaa komiteaa. Korostus sanoilla "neuvoa antava".	That is why we emphatically support the Commission's proposal that implementation be based on the committee system, including the involvement of an advisory committee, with the emphasis on the word 'advisory'.
Komissiohan on noudattanut vuosien mittaan parlamentin tukemana muuten yhteisöllistämisajatusta. Se tarkoittaa sitä, että toimintoja siirrettiin yhteisestä ulko- ja turvallisuuspolitiikasta, siis toisesta pilarista, yhteisön pilariin.	Now over the years, as you know, the Commission - with Parliamentary backing, I hasten to add - has been pursuing a strategy of gradually transferring activities from the ambit of the common foreign and security policy, in other words from the second pillar of the European unification process, to that of the Community, the first pillar.
Tätä suuntausta jatketaan tässä nopean toiminnan välinettä koskevassa ehdotuksessa.	This trend is continued by the current proposal for the rapid reaction facility.
Hyvä niin.	So far, so good.
Tarvittavat varat on kuitenkin saatava rahoitusnäkymien otsakkeesta 4.	But the funds for this purpose must be allocated under Heading 4 of the Financial Perspective.
Kaikki kollegat tietävät kuitenkin otsakkeen "ulkoiset toimet" määrärahojen niukkuuden viimeistään kahden edellisen budjettimenettelyn ansiosta.	And all Members of this House have been made aware by at least the last two budgetary processes just how tight our finances are in the foreign-policy budget.
Kummallakin kerralla kiistelimme talousarviosta tiukimmin neuvoston kanssa sillä alueella.	Every year, this allocation has been the subject of our bitterest budgetary wrangling with the Council.
Ei tarvita ennustajan lahjoja sen toteamiseen, että sama toistuu tänäkin vuonna.	We have no need of a crystal ball to predict a similar situation this year.
Siksi pyysimme asiasta vastaavaa valiokuntaa tekemään kaksi asiaa: ensinnäkin pyytämään komissiota ja neuvostoa hahmottelemaan yhteisessä raportissa tätä alaa koskevat aikeensa, erityisesti vastuualueiden jakamisen ja toiminnan rahoittamisen aloilla, ja toiseksi lisäämään tekstin johdanto-osaan kappale, jossa sanotaan selvästi, että nopean toiminnan väline on rahoitettava rahoitusnäkymien otsakkeesta 4.	For that reason we have asked the lead committee to do two things: firstly, to call on the Commission and Council to outline their intentions and particularly to explain how they intend to divide up responsibilities between themselves in this field and how they intend to finance the relevant activities, and, secondly, to add a recital to the proposed text stating quite clearly that rapid reaction interventions must be financed within Heading 4.
Mikäli se ei ole mahdollista, rahoitusnäkymiä on muutettava.	Should that be impossible, provision must be made for a revision of the Financial Perspective.
Lisäksi haluamme, että parlamenttia on kuultava jokaisen välineestä rahoitettavan toimen yhteydessä.	In addition, we want an obligation to consult Parliament on each action to be financed under the facility.
Esittelijä ja asiasta vastaava valiokunta noudattivat näitä talousarvioon liittyviä näkökohtia.	The rapporteur and the lead committee have complied with these budgetary wishes.
Kiitämme teitä siitä!	For this we are very grateful to them.
Arvoisa puhemies, monista Euroopan komission toimivaltuuksista on hyötyä, kun ei-sotilaallisia menetelmiä käyttäen halutaan valvoa tilanteita, jotka uhkaavat luisua käsistä.	Mr President, the European Commission boasts a whole raft of competences which are important in terms of a civil contribution to keeping those situations under control which threaten to get out of hand.
Näitä samoja toimivaltuuksia voidaan hyödyntää väkivaltaisen konfliktin jälkeisessä vakauttamisvaiheessa, kun halutaan estää tilannetta luisumasta uudestaan käsistä.	Those competences can be deployed in the stabilisation phase following a violent conflict, to prevent the situation from hitting crisis point again.
Tavanomaisen avustushenkilöstön ohella siinä on kyse seurannasta sekä hallintohenkilöstön, kouluttajien ja poliisin panoksesta.	In addition to the usual aid personnel, these competences also involve monitors, the deployment of government officials, trainers and police.
Kyse on hankkeista ja avustuspolitiikasta, joka kohdistuu erityisesti tietyn alueen vakauttamiseen.	They translate into projects and aid policy specifically designed to bring stability to a certain region.
Mielestämme on erittäin myönteistä, että kaikki nämä siviilivälineet yhdistetään toisiinsa nopean toiminnan välineeksi poliittisella ja organisatorisella tasolla.	We very much welcome the dimension of political and organisational coherence in all these civil instruments in the form of a rapid reaction facility.
Sen avulla Euroopan unioni voi ottaa nykyistä enemmän vastuuta kansainvälisestä laillisesta järjestyksestä.	In this way, the EU' s responsibility for the international legal order can be developed much more effectively.
Lisäksi se antaa komissiolle ja toimivaltaiselle komission jäsenelle mahdollisuuden tehdä tällä alueella selkeästi omia aloitteita ja ehdotuksia.	Furthermore, it gives the Commission and the competent Commissioner a chance to bring forward their own initiatives and proposals in this field.
Esittelijän ja komission välinen vuorovaikutus on mielestämme synnyttänyt erinomaisen päätöslauselman.	In our opinion, the interplay between the rapporteur and the Commission has led to an excellent resolution.
Siinä on onnistuttu välttämään erityisesti turhien, päätöksentekoa hidastavien rakenteiden ylläpitäminen tai käyttöön ottaminen.	Particular efforts have been made to avoid introducing or maintaining superfluous structures which delay the decision-making process.
Esittelijä muistuttaa aivan oikeutetusti tätä välinettä varten tarvittavasta rahoituksesta ja asianmukaisesti koulutettua henkilöstöä sisältävästä varainhoito- ja toimeenpanoyksiköstä.	The rapporteur is right to point out the need for funding this facility and the need for a well-trained unit for financial management and implementation.
Joissakin kohdissa ryhmäni asettaa komission tekstin esittelijän tekemien tarkistusten edelle.	My group prefers the Commission text to the rapporteur' s amendments on a number of scores.
Pidän erittäin hyödyllisinä esimerkiksi 1 artiklan 1 kohdassa lueteltuja esimerkkejä ja tavoitteita, joihin nopean toiminnan väline soveltuu.	For instance, I find the list of examples and goals in Article 1 (1), which is what the rapid reaction facility will serve to achieve, very useful.
Mietinnössä ilmaistaan Euroopan parlamentin selkeä osallisuus politiikkaan.	The report mentions the clear involvement of the European Parliament in the policy.
Siinä puolletaan järjestelmällistä tietojenvaihtoa, mikä on aivan oikein, koska jäsenvaltioiden panos pysyy myös tulevaisuudessa pirstoutuneena.	Given the fragmented commitment of the Member States, also in the future, the report is right to call for a system of information exchange.
Myös pitemmälle menevä koordinaatio ja ohjaus saattavat olla myöhemmin mahdollisia.	Who knows whether more far-reaching coordination and guidance will be possible in the time to come.
Virheistä oppii.	We learn from our knock-backs, albeit with some delay.
Bosnia ja Hertsegovina ja Kosovo ovat tärkeitä esimerkkejä konflikteista, joissa teimme hyvin monta virhettä, mutta myös opimme niistä vähitellen.	Bosnia-Herzegovina and Kosovo are important examples where a great deal went wrong and, slowly but surely, we learnt from our mistakes.
Nopean toiminnan väline on tältä osin valtava edistysaskel.	The rapid reaction facility is, as far as this is concerned, an enormous step forward.
Toivomme luonnollisesti, että sitä tarvitaan mahdollisimman vähän, mutta se jää pelkäksi toiveeksi.	We hope, of course, that it will need to be deployed as little as possible, but that is wishful thinking.
Me politiikassa tiedämme, että tällainen mahdollisuus on hyvä olla varalla täydentämässä korkea edustaja Solanan alaisuuteen kuuluvaa nopeasti mobilisoitavaa sotilaallista yksikköä.	We know that in politics, it is useful to have this option up your sleeve, as a complement to the rapidly mobilised military unit which falls within the remit of Mr Solana.
Meidän mielestämme Euroopan unionin suurimmat mahdollisuudet tulevassa rauhanturvaamisessa ja järjestyksenpidossa perustuvat ennen kaikkea siviilitoiminnan resursseihin, mikä on luonnollisesti myös toivottavaa.	We think that in future, the European Union' s civil instruments will matter most in the sphere of maintaining law and order, and this is, of course, also what we want.
